cm_projectno,orderno,shop,cm_projectno_i,detailno_i,partno,orderno_i,order_type,order_date,closing_date,state,internal_repair,serial_batch_no,detail_state,qty_order,backorder,description,condition,receiving_number,detailno_i_rec,receiving_detail_number_id,qty_rec,partno_rec,delivery_date,serial_batch_rec,condition_POST,tat,ultima_act,ARRIVAL_IN_SHOP,DETAILNO_I_CM,PAUSED,PAUSING_REASON_I,MUTATOR,TAT_ack_to_close
CM101772,R1645423,METROLOGY,101772,308892,79368,245743,R,2023-06-07,2023-06-20,C,Y,8167,R,1.0,0.0,MANOMETRO,CA,216807,308892,584093,1.0,79368,2023-06-20,8167,R,13,2023-06-28T11:53:20.039Z,,101772,N,-1,AR027170,
CM101772,R1645423,METROLOGY,101772,308892,79368,245743,R,2023-06-07,2023-06-20,C,Y,8167,R,1.0,0.0,MANOMETRO,CA,216807,308892,584093,1.0,79368,2023-06-20,8167,R,13,2023-06-28T11:53:20.039Z,2023-06-09,308892,N,2,AR027170,11
CM101830,R1655023,METROLOGY,101830,309026,0-1000PSI,245857,R,2023-06-08,2023-06-20,C,Y,2712,R,1.0,0.0,MANOMETRO,CA,216806,309026,584092,1.0,0-1000PSI,2023-06-20,2712,R,12,2023-06-28T11:53:20.039Z,,101830,N,-1,AR027170,
CM101830,R1655023,METROLOGY,101830,309026,0-1000PSI,245857,R,2023-06-08,2023-06-20,C,Y,2712,R,1.0,0.0,MANOMETRO,CA,216806,309026,584092,1.0,0-1000PSI,2023-06-20,2712,R,12,2023-06-28T11:53:20.039Z,2023-06-09,309026,N,2,AR027170,11
CM102129,R1693923,METROLOGY,102129,309666,TEC602FUAC,246429,R,2023-06-13,2023-06-15,C,Y,1010,R,1.0,0.0,TORQUIMETRO,CA,216514,309666,583311,1.0,TEC602FUAC,2023-06-15,1010,R,2,2023-06-28T11:53:20.039Z,,102129,N,-1,AR027170,
CM102129,R1693923,METROLOGY,102129,309666,TEC602FUAC,246429,R,2023-06-13,2023-06-15,C,Y,1010,R,1.0,0.0,TORQUIMETRO,CA,216514,309666,583311,1.0,TEC602FUAC,2023-06-15,1010,R,2,2023-06-28T11:53:20.039Z,2023-06-15,309666,N,5,AR027170,0
CM10219,R0725618,METROLOGY,10219,93719,G.V.,68542,R,2018-11-16,2019-08-12,C,Y,3722,R,1.0,0.0,MANOMETRO,CA,111925,93719,317304,1.0,G.V.,2019-08-12,3722,R,269,2023-06-28T11:53:20.039Z,,10219,N,-1,AR013812,
CM10219,R0725618,METROLOGY,10219,93719,G.V.,68542,R,2018-11-16,2019-08-12,C,Y,3722,R,1.0,0.0,MANOMETRO,CA,111925,93719,317304,1.0,G.V.,2019-08-12,3722,R,269,2023-06-28T11:53:20.039Z,2018-11-20,93719,N,-1,AR013812,265
CM102351,R1741923,METROLOGY,102351,310425,270.BOX,247054,R,2023-06-16,2023-06-16,C,Y,AR01,R,1.0,0.0,CONJUNTO MICROMETROS INTERIOR,SV,216591,310425,583654,1.0,270.BOX,2023-06-16,AR01,R,0,2023-06-28T11:53:20.039Z,,102351,N,-1,AR022227,
CM102351,R1741923,METROLOGY,102351,310425,270.BOX,247054,R,2023-06-16,2023-06-16,C,Y,AR01,R,1.0,0.0,CONJUNTO MICROMETROS INTERIOR,SV,216591,310425,583654,1.0,270.BOX,2023-06-16,AR01,R,0,2023-06-28T11:53:20.039Z,,310425,N,-1,AR022227,
